Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","0734120110","73412-0110",120.015000,-82.189800,-90.000000,top
"AE2","142-0701-851","142-0701-851",96.139000,-86.614000,90.000000,top
"B1","PTS647SM38SMTR2LFS","PTS647SM38SMTR2LFS",137.541000,-91.821000,180.000000,top
"BT1","MS614SE-FL28E","MS621FE-FL11E",106.680000,-72.412000,-90.000000,top
"BZ1","AT-1438-TWT-R","AT-1438-TWT-R",164.922200,-81.788000,0.000000,top
"C1","4.7uF","CAP_0603",149.098000,-65.659000,90.000000,top
"C2","0.1uF","CAP_0603",157.226000,-86.614000,0.000000,top
"C3","0.1uF","CAP_0603",140.970000,-87.630000,-90.000000,top
"C4","0.1uF","CAP_0603",142.748000,-88.900000,-90.000000,top
"C5","0.1uF","CAP_0603",137.795000,-77.978000,180.000000,top
"C6","0.1uF","CAP_0603",159.385000,-71.501000,0.000000,top
"C7","0.1uF","CAP_0603",144.145000,-68.199000,180.000000,top
"C8","0.1uF","CAP_0603",137.261600,-81.153000,180.000000,top
"C9","1uF","CAP_0603",138.303000,-83.947000,-90.000000,top
"C10","10uF","T491A106K010AT",164.973000,-63.246000,-90.000000,top
"C11","2.2uF","CAP_0603",157.480000,-88.392000,0.000000,top
"C12","8pF","CAP_0603",130.505200,-76.962000,-90.000000,top
"C13","10uF","T491A106K010AT",153.162000,-62.103000,-90.000000,top
"C14","8pF","CAP_0603",133.019800,-80.340200,180.000000,top
"C15","2.2uF","CAP_0603",159.385000,-73.075800,0.000000,top
"C16","0.01uF","CAP_0603",113.792000,-91.186000,0.000000,top
"C17","0.1uF","CAP_0603",130.175000,-82.677000,90.000000,top
"C18","0.1uF","CAP_0603",132.842000,-82.931000,180.000000,top
"C20","0.1uF","CAP_0603",138.938000,-70.866000,180.000000,top
"C21","0.1uF","CAP_0603",135.382000,-73.202800,0.000000,top
"C22","0.1uF","CAP_0603",134.239000,-87.503000,90.000000,top
"C23","1uF","CAP_0603",176.784000,-70.104000,0.000000,top
"C24","0.1uF","CAP_0603",176.784000,-68.326000,0.000000,top
"C25","1uF","CAP_0603",117.842000,-70.877000,90.000000,top
"C26","1uF","CAP_0603",124.968000,-69.596000,180.000000,top
"D1","CLMVC-FKA-CL1D1L71BB7C3C3","CLMVC-FKA-CL1D1L71BB7C3C3",160.528000,-68.072000,0.000000,top
"D2","SM5819PL-TP","SM5819PL-TP",169.037000,-60.833000,0.000000,top
"D3","SM5819PL-TP","SM5819PL-TP",168.783000,-64.770000,0.000000,top
"D4","SM5819PL-TP","SM5819PL-TP",104.267000,-61.976000,-90.000000,top
"D5","SML-LX1206GC-TR","SML-LX1206GC-TR",155.321000,-67.183000,0.000000,top
"D6","MM3Z3V3B","MM3Z3V3B",168.402000,-90.170000,90.000000,top
"D7","MM3Z3V3B","MM3Z3V3B",162.052000,-90.424000,90.000000,top
"D8","MM3Z3V3B","MM3Z3V3B",156.210000,-91.313000,90.000000,top
"D9","MM3Z3V3B","MM3Z3V3B",149.098000,-92.202000,90.000000,top
"D10","SP0504BAHTG","SP0504BAHTG",176.403000,-72.898000,0.000000,top
"J1","Jumper_NO","Jumper-NO",148.463000,-68.453000,180.000000,top
"J2","Jumper_NO","Jumper-NO",137.922000,-87.122000,0.000000,top
"L1","27nH","L-07C27NJV6T",110.490000,-92.456000,0.000000,top
"LOGO1","Logo","Logo",107.950000,-96.393000,0.000000,top
"P1","647676-2","647676-2",173.790500,-64.557500,90.000000,top
"P2","1546551-2","1546551-2",98.552000,-69.215000,-90.000000,top
